"","id","prize","year","name","gender","yob","yod","univ","city","country","Flagged"
"156","1190581","1","1905","Heinrich  Kayser","M","1853",NA,NA,NA,"GERMANY (DE) ","CORRECT"
"157","1190591","1","1905","Friedrich  Kohlrausch","M","1840",NA,NA,NA,"GERMANY (DE) ","CORRECT"
"158","11905101","1","1905","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"159","11905111","1","1905","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"160","11905121","1","1905","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"161","11905131","1","1905","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"162","11905141","1","1905","Augusto  Righi","M","1850",NA,NA,NA,"ITALY (IT) ","CORRECT"
"163","11905151","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"164","11905161","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"165","11905171","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"166","11905181","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"167","11905191","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"168","11905201","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"169","11905211","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"170","11905221","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"171","11905231","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"172","11905241","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"173","11905251","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"174","11905261","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"175","11905271","1","1905","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"176","1190611","1","1906","Ludwig  Boltzmann","M","1844","1906",NA,NA,"AUSTRIA (AT) ","CORRECT"
"177","1190621","1","1906","Lorenz  Boltzmann","M","1862",NA,NA,NA,"AUSTRIA (AT) ","CORRECT"
"178","1190631","1","1906","Ludwig  Boltzmann","M","1844","1906",NA,NA,"AUSTRIA (AT) ","CORRECT"
"179","1190641","1","1906","Ferdinand C Braun","M","1850","1918","University of Strasbourg","Strasbourg","GERMANY (DE) ","CORRECT"
"180","1190651","1","1906","Ferdinand C Braun","M","1850","1918","University of Strasbourg","Strasbourg","GERMANY (DE) ","CORRECT"
"181","1190661","1","1906","Julius  von Hann","M","1839",NA,NA,NA,"AUSTRIA (AT) ","CORRECT"
"182","1190671","1","1906","Friedrich  Kohlrausch","M","1840",NA,NA,NA,"GERMANY (DE) ","CORRECT"
"183","1190672","1","1906","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"184","1190681","1","1906","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"185","1190682","1","1906","Henri  Poincaré","M","1854",NA,NA,NA,"FRANCE (FR) ","CORRECT"
"186","1190691","1","1906","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"187","1190692","1","1906","Henri  Poincaré","M","1854",NA,NA,NA,"FRANCE (FR) ","CORRECT"
"188","1190693","1","1906","Augusto  Righi","M","1850","1908","École Polytechnique","Paris","ITALY (IT) ","CORRECT"
"189","11906101","1","1906","Henri  Poincaré","M","1854",NA,NA,NA,"FRANCE (FR) ","CORRECT"
